iter	Passed	Remaining
0	279	83559
1	391	58278
2	504	49978
3	628	46507
4	747	44076
5	857	42009
6	969	40565
7	1090	39786
8	1190	38479
9	1300	37706
10	1405	36931
11	1517	36418
12	1627	35935
13	1736	35467
14	1849	35139
15	1961	34823
16	2072	34504
17	2180	34164
18	2291	33886
19	2404	33661
20	2513	33397
21	2621	33122
22	2739	32997
23	2851	32795
24	2951	32470
25	3074	32397
26	3177	32133
27	3290	31961
28	3396	31736
29	3512	31608
30	3616	31380
31	3720	31155
32	3829	30987
33	3937	30806
34	4047	30641
35	4151	30445
36	4272	30367
37	4380	30199
38	4489	30042
39	4587	29820
40	4696	29668
41	4815	29579
42	4931	29475
43	5033	29288
44	5134	29097
45	5249	28987
46	5361	28861
47	5483	28788
48	5578	28573
49	5697	28487
50	5805	28342
51	5901	28147
52	6010	28012
53	6136	27955
54	6251	27847
55	6359	27707
56	6466	27568
57	6593	27512
58	6686	27313
59	6804	27218
60	6917	27101
61	7024	26965
62	7138	26853
63	7252	26742
64	7350	26576
65	7462	26456
66	7567	26318
67	7667	26161
68	7782	26054
69	7899	25956
70	7993	25781
71	8105	25666
72	8215	25547
73	8323	25420
74	8439	25317
75	8548	25196
76	8649	25049
77	8755	24919
78	8859	24783
79	8951	24617
80	9062	24503
81	9174	24389
82	9273	24245
83	9398	24166
84	9502	24035
85	9606	23904
86	9706	23764
87	9805	23621
88	9915	23506
89	10023	23387
90	10136	23281
91	10250	23176
92	10361	23063
93	10474	22954
94	10582	22836
95	10695	22728
96	10795	22591
97	10912	22493
98	11035	22405
99	11149	22299
100	11263	22192
101	11382	22095
102	11508	22011
103	11635	21927
104	11758	21837
105	11878	21740
106	11991	21630
107	12110	21529
108	12220	21413
109	12328	21295
110	12453	21205
111	12550	21067
112	12655	20942
113	12769	20834
114	12865	20697
115	12982	20592
116	13092	20477
117	13213	20380
118	13331	20276
119	13443	20164
120	13561	20062
121	13686	19968
122	13786	19839
123	13901	19730
124	14012	19618
125	14131	19514
126	14236	19393
127	14365	19303
128	14487	19204
129	14615	19112
130	14731	19004
131	14840	18888
132	14929	18745
133	15031	18621
134	15148	18514
135	15237	18374
136	15334	18244
137	15470	18161
138	15587	18055
139	15707	17951
140	15822	17842
141	15937	17733
142	16046	17616
143	16152	17498
144	16248	17369
145	16340	17236
146	16435	17106
147	16554	17002
148	16658	16882
149	16771	16771
150	16893	16669
151	17010	16562
152	17115	16444
153	17240	16345
154	17366	16246
155	17490	16144
156	17603	16033
157	17737	15941
158	17850	15829
159	17945	15701
160	18087	15615
161	18196	15500
162	18324	15401
163	18440	15291
164	18567	15191
165	18670	15071
166	18805	14976
167	18925	14869
168	19050	14766
169	19177	14664
170	19294	14555
171	19432	14461
172	19562	14360
173	19661	14237
174	19787	14133
175	19926	14038
176	20039	13926
177	20165	13821
178	20285	13712
179	20406	13604
180	20527	13496
181	20646	13386
182	20742	13261
183	20838	13137
184	20942	13018
185	21078	12918
186	21181	12799
187	21317	12699
188	21418	12579
189	21541	12471
190	21652	12356
191	21770	12246
192	21887	12134
193	22004	12023
194	22118	11909
195	22223	11791
196	22343	11682
197	22455	11568
198	22566	11453
199	22682	11341
200	22784	11222
201	22882	11101
202	22997	10988
203	23112	10876
204	23216	10759
205	23313	10638
206	23435	10528
207	23536	10410
208	23652	10298
209	23764	10184
210	23871	10069
211	23961	9946
212	24080	9835
213	24169	9713
214	24290	9603
215	24420	9497
216	24546	9388
217	24657	9274
218	24793	9170
219	24930	9065
220	25040	8951
221	25164	8841
222	25276	8727
223	25402	8618
224	25520	8506
225	25608	8384
226	25707	8267
227	25822	8154
228	25936	8041
229	26031	7922
230	26133	7806
231	26243	7692
232	26365	7581
233	26482	7469
234	26604	7358
235	26717	7245
236	26825	7130
237	26941	7018
238	27044	6902
239	27151	6787
240	27269	6676
241	27385	6563
242	27491	6448
243	27627	6340
244	27730	6225
245	27849	6113
246	27963	6000
247	28103	5892
248	28236	5783
249	28365	5673
250	28490	5561
251	28641	5455
252	28765	5343
253	28870	5228
254	29003	5118
255	29106	5002
256	29245	4893
257	29363	4780
258	29495	4669
259	29601	4554
260	29730	4442
261	29826	4325
262	29935	4211
263	30054	4098
264	30147	3981
265	30241	3865
266	30346	3750
267	30464	3637
268	30561	3521
269	30672	3408
270	30765	3292
271	30878	3178
272	31008	3066
273	31137	2954
274	31260	2841
275	31396	2730
276	31508	2616
277	31634	2503
278	31741	2389
279	31858	2275
280	31982	2162
281	32114	2049
282	32237	1936
283	32379	1824
284	32522	1711
285	32634	1597
286	32756	1483
287	32857	1369
288	32957	1254
289	33102	1141
290	33208	1027
291	33320	912
292	33457	799
293	33575	685
294	33692	571
295	33809	456
296	33914	342
297	34036	228
298	34172	114
299	34292	0
